DataNumber:4274
Load			Extension			Broadwise Extension			Displacement			Stress			Strain			Time
3.0000		0.2020		0.0000		0.1919		30.0000		0.4040		3.9000
3.2000		0.2020		0.0000		0.1919		32.0000		0.4040		3.9500
3.4000		0.2121		0.0000		0.2020		34.0000		0.4242		4.0000
3.5000		0.2121		0.0000		0.2020		35.0000		0.4242		4.0500
3.6000		0.2222		0.0000		0.2121		36.0000		0.4444		4.1000
3.7000		0.2222		0.0000		0.2121		37.0000		0.4444		4.1500
3.8000		0.2323		0.0000		0.2222		38.0000		0.4646		4.2000
3.9000		0.2323		0.0000		0.2222		39.0000		0.4646		4.2500
4.0000		0.2323		0.0000		0.2222		40.0000		0.4646		4.3000
4.2000		0.2424		0.0000		0.2323		42.0000		0.4848		4.3500
4.4000		0.2424		0.0000		0.2323		44.0000		0.4848		4.4000
4.5000		0.2525		0.0000		0.2424		45.0000		0.5051		4.4500
4.5000		0.2525		0.0000		0.2424		45.0000		0.5051		4.5000
4.7000		0.2626		0.0000		0.2525		47.0000		0.5253		4.5500
4.8000		0.2626		0.0000		0.2525		48.0000		0.5253		4.6000
4.9000		0.2727		0.0000		0.2626		49.0000		0.5455		4.6500
5.0000		0.2727		0.0000		0.2626		50.0000		0.5455		4.7000
5.1000		0.2828		0.0000		0.2727		51.0000		0.5657		4.7500
5.2000		0.2828		0.0000		0.2727		52.0000		0.5657		4.8000
5.2000		0.2929		0.0000		0.2828		52.0000		0.5859		4.8500
5.3000		0.2929		0.0000		0.2828		53.0000		0.5859		4.9000
5.3000		0.2929		0.0000		0.2828		53.0000		0.5859		4.9500
5.4000		0.3030		0.0000		0.2929		54.0000		0.6061		5.0000
5.5000		0.3030		0.0000		0.2929		55.0000		0.6061		5.0500
5.5000		0.3131		0.0000		0.3030		55.0000		0.6263		5.1000
5.6000		0.3131		0.0000		0.3030		56.0000		0.6263		5.1500
5.6000		0.3232		0.0000		0.3131		56.0000		0.6465		5.2000
5.6000		0.3232		0.0000		0.3131		56.0000		0.6465		5.2500
5.6000		0.3333		0.0000		0.3232		56.0000		0.6667		5.3000
5.7000		0.3333		0.0000		0.3232		57.0000		0.6667		5.3500
5.7000		0.3333		0.0000		0.3232		57.0000		0.6667		5.4000
5.7000		0.3434		0.0000		0.3333		57.0000		0.6869		5.4500
5.7000		0.3434		0.0000		0.3333		57.0000		0.6869		5.5000
5.7000		0.3535		0.0000		0.3434		57.0000		0.7071		5.5500
